,person.type,person.value,religion.xml:lang,religion.type,religion.value,personLabel.xml:lang,personLabel.type,personLabel.value
71,uri,http://www.wikidata.org/entity/Q1065600,,,,en,literal,Charles N. Brower
72,uri,http://www.wikidata.org/entity/Q1116470,,,,en,literal,José María Valverde
73,uri,http://www.wikidata.org/entity/Q1173853,,,,en,literal,David Brydges
74,uri,http://www.wikidata.org/entity/Q1174571,,,,en,literal,David Gordon White
75,uri,http://www.wikidata.org/entity/Q1183434,,,,en,literal,Nicolás Cabrera
76,uri,http://www.wikidata.org/entity/Q1241017,,,,en,literal,Carlos Eire
77,uri,http://www.wikidata.org/entity/Q1288794,,,,en,literal,Alfred Burger
78,uri,http://www.wikidata.org/entity/Q1292667,,,,en,literal,Edward J. McShane
79,uri,http://www.wikidata.org/entity/Q1294503,,,,en,literal,Edwin E. Floyd
80,uri,http://www.wikidata.org/entity/Q1351528,,,,en,literal,Alexander Vyssotsky
81,uri,http://www.wikidata.org/entity/Q1352885,,,,en,literal,Harold Alden
82,uri,http://www.wikidata.org/entity/Q1362347,,,,en,literal,Randall Thompson
83,uri,http://www.wikidata.org/entity/Q1373155,,,,en,literal,Eugene Lane
84,uri,http://www.wikidata.org/entity/Q1392694,,,,en,literal,John Houbolt
85,uri,http://www.wikidata.org/entity/Q1393363,,,,en,literal,H. C. Erik Midelfort
86,uri,http://www.wikidata.org/entity/Q1422313,,,,en,literal,Ross Levine
87,uri,http://www.wikidata.org/entity/Q1432065,,,,en,literal,Solomon Morris Kupchan
88,uri,http://www.wikidata.org/entity/Q1480502,,,,en,literal,Scott Knowles DeVeaux
89,uri,http://www.wikidata.org/entity/Q1489004,,,,en,literal,Philip D. Zelikow
90,uri,http://www.wikidata.org/entity/Q1507776,,,,en,literal,George Long
91,uri,http://www.wikidata.org/entity/Q1508382,,,,en,literal,George Tucker
92,uri,http://www.wikidata.org/entity/Q1520800,,,,en,literal,John D'earth
93,uri,http://www.wikidata.org/entity/Q1538116,,,,en,literal,Gordon Thomas Whyburn
94,uri,http://www.wikidata.org/entity/Q1543895,,,,en,literal,Thomas E. Mann
95,uri,http://www.wikidata.org/entity/Q1553397,,,,en,literal,Peter M. Garber
96,uri,http://www.wikidata.org/entity/Q1555939,,,,en,literal,Gustav A. Hedlund
97,uri,http://www.wikidata.org/entity/Q1582765,,,,en,literal,Siva Vaidhyanathan
98,uri,http://www.wikidata.org/entity/Q1607275,,,,en,literal,"Henry St. George Tucker, Sr."
99,uri,http://www.wikidata.org/entity/Q1610293,,,,en,literal,Herman M. Schwartz
100,uri,http://www.wikidata.org/entity/Q1626035,,,,en,literal,Homer Smith
101,uri,http://www.wikidata.org/entity/Q1631482,,,,en,literal,Houston G. Wood III
102,uri,http://www.wikidata.org/entity/Q1655441,,,,en,literal,Ian Ayres
103,uri,http://www.wikidata.org/entity/Q1662745,,,,en,literal,William McDonough
104,uri,http://www.wikidata.org/entity/Q1663386,,,,en,literal,Janis Antonovics
105,uri,http://www.wikidata.org/entity/Q1676273,,,,en,literal,"Robert R. Merhige, Jr."
106,uri,http://www.wikidata.org/entity/Q1685513,,,,en,literal,Jean Fabre
107,uri,http://www.wikidata.org/entity/Q1688195,,,,en,literal,Jesse Beams
108,uri,http://www.wikidata.org/entity/Q1691739,,,,en,literal,Joel Rubin
109,uri,http://www.wikidata.org/entity/Q1696311,,,,en,literal,Lennart Heimer
110,uri,http://www.wikidata.org/entity/Q1701091,,,,en,literal,John Francis Marchment Middleton
111,uri,http://www.wikidata.org/entity/Q1710863,,,,en,literal,Judah Moshe Eisenberg
112,uri,http://www.wikidata.org/entity/Q1711079,,,,en,literal,Judith Shatin
113,uri,http://www.wikidata.org/entity/Q1729266,,,,en,literal,Karen Parshall
114,uri,http://www.wikidata.org/entity/Q1738659,,,,en,literal,Ken Ono
115,uri,http://www.wikidata.org/entity/Q1740168,,,,en,literal,Kevin Hart
116,uri,http://www.wikidata.org/entity/Q1819016,,,,en,literal,Leonard Mirman
117,uri,http://www.wikidata.org/entity/Q1873929,,,,en,literal,Ludlow Griscom
118,uri,http://www.wikidata.org/entity/Q2044760,,,,en,literal,David G. Bromley
119,uri,http://www.wikidata.org/entity/Q2076568,,,,en,literal,Peter Landweber
120,uri,http://www.wikidata.org/entity/Q2093316,,,,en,literal,Pierre Conner
121,uri,http://www.wikidata.org/entity/Q2158898,,,,en,literal,Robert Evert Stong
122,uri,http://www.wikidata.org/entity/Q2161569,,,,en,literal,Roger A. Pielke
123,uri,http://www.wikidata.org/entity/Q2161885,,,,en,literal,Roger Shattuck
124,uri,http://www.wikidata.org/entity/Q2341286,,,,en,literal,William Barton Rogers
125,uri,http://www.wikidata.org/entity/Q2559671,,,,en,literal,Samuel Alfred Mitchell
126,uri,http://www.wikidata.org/entity/Q2642732,,,,en,literal,Alexander Newton Winchell
127,uri,http://www.wikidata.org/entity/Q2692082,,,,en,literal,Nicolas Tournadre
128,uri,http://www.wikidata.org/entity/Q2901043,,,,en,literal,Robert Cooter
129,uri,http://www.wikidata.org/entity/Q2960465,,,,en,literal,Charles Wright
130,uri,http://www.wikidata.org/entity/Q3014805,,,,en,literal,Daniel Wegner
131,uri,http://www.wikidata.org/entity/Q3140859,,,,en,literal,"Horton Holcombe Hobbs, Jr."
132,uri,http://www.wikidata.org/entity/Q3146470,,,,en,literal,I. J. Parker
133,uri,http://www.wikidata.org/entity/Q3161705,,,,en,literal,Jan L. Perkowski
134,uri,http://www.wikidata.org/entity/Q3185398,,,,en,literal,Joseph Médard Carrière
135,uri,http://www.wikidata.org/entity/Q3244789,,,,en,literal,Jim B. Tucker
136,uri,http://www.wikidata.org/entity/Q3246321,,,,en,literal,Bruce Greyson
137,uri,http://www.wikidata.org/entity/Q3262682,,,,en,literal,Louis Menand
138,uri,http://www.wikidata.org/entity/Q3302959,,,,en,literal,Emma Vyssotsky
139,uri,http://www.wikidata.org/entity/Q3306602,,,,en,literal,Merrill Elam
140,uri,http://www.wikidata.org/entity/Q3436307,,,,en,literal,Robert Homer Simpson
141,uri,http://www.wikidata.org/entity/Q3896092,,,,en,literal,Park Dietz
142,uri,http://www.wikidata.org/entity/Q4027139,,,,en,literal,Robert B. Radnitz
143,uri,http://www.wikidata.org/entity/Q4133014,,,,en,literal,E. D. Hirsch
144,uri,http://www.wikidata.org/entity/Q4347110,,,,en,literal,Robert M. Patterson
145,uri,http://www.wikidata.org/entity/Q4349539,,,,en,literal,Quincy Wright
146,uri,http://www.wikidata.org/entity/Q4356592,,,,en,literal,Trenton Merricks
147,uri,http://www.wikidata.org/entity/Q4502742,,,,en,literal,Jeffrey K. Hadden
148,uri,http://www.wikidata.org/entity/Q4531178,,,,en,literal,Kenneth G. Elzinga
149,uri,http://www.wikidata.org/entity/Q4647627,,,,en,literal,A. C. Spearing
150,uri,http://www.wikidata.org/entity/Q4679954,,,,en,literal,Adam Watson
151,uri,http://www.wikidata.org/entity/Q4706366,,,,en,literal,Alan Cheuse
152,uri,http://www.wikidata.org/entity/Q4719325,,,,en,literal,Alexander Klibanov
153,uri,http://www.wikidata.org/entity/Q4755147,,,,en,literal,Andrea L. Press
154,uri,http://www.wikidata.org/entity/Q4799180,,,,en,literal,Arthur J. Bachrach
155,uri,http://www.wikidata.org/entity/Q4808349,,,,en,literal,Assaf Shelleg
156,uri,http://www.wikidata.org/entity/Q4815991,,,,en,literal,Mary Lou Soffa
157,uri,http://www.wikidata.org/entity/Q4856431,,,,en,literal,Bankole Johnson
158,uri,http://www.wikidata.org/entity/Q4858257,,,,en,literal,Ed Diener
159,uri,http://www.wikidata.org/entity/Q4865662,,,,en,literal,Barton Myers
160,uri,http://www.wikidata.org/entity/Q4866340,,,,en,literal,Bascom S. Deaver
161,uri,http://www.wikidata.org/entity/Q4957692,,,,en,literal,Brantly Womack
162,uri,http://www.wikidata.org/entity/Q4967003,,,,en,literal,Brie Gertler
163,uri,http://www.wikidata.org/entity/Q4975042,,,,en,literal,Brooks Pate
164,uri,http://www.wikidata.org/entity/Q4977040,,,,en,literal,Bruce A. Williams
165,uri,http://www.wikidata.org/entity/Q5006273,,,,en,literal,C. Alphonso Smith
166,uri,http://www.wikidata.org/entity/Q5053606,,,,en,literal,Cato T. Laurencin
167,uri,http://www.wikidata.org/entity/Q5074847,,,,en,literal,Charles A. Holt
168,uri,http://www.wikidata.org/entity/Q5078460,,,,en,literal,Charles Grisham
169,uri,http://www.wikidata.org/entity/Q5081332,,,,en,literal,Charles O. Jones
170,uri,http://www.wikidata.org/entity/Q5081704,,,,en,literal,Charles Pollard Olivier
171,uri,http://www.wikidata.org/entity/Q5082301,,,,en,literal,Charles S. Venable
172,uri,http://www.wikidata.org/entity/Q5083498,,,,en,literal,Charles Whitebread
173,uri,http://www.wikidata.org/entity/Q5113331,,,,en,literal,Christopher Tilghman
174,uri,http://www.wikidata.org/entity/Q5125004,,,,en,literal,Claes G. Ryn
175,uri,http://www.wikidata.org/entity/Q5126252,,,,en,literal,Clare Shore
176,uri,http://www.wikidata.org/entity/Q5218889,,,,en,literal,Daniel T. Willingham
177,uri,http://www.wikidata.org/entity/Q5231395,,,,en,literal,David Bevington
178,uri,http://www.wikidata.org/entity/Q5234583,,,,en,literal,David Haberly
179,uri,http://www.wikidata.org/entity/Q5237037,,,,en,literal,David Magleby
180,uri,http://www.wikidata.org/entity/Q5240176,,,,en,literal,David Summers
181,uri,http://www.wikidata.org/entity/Q5248236,,,,en,literal,Deborah E. McDowell
