,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,conditions.type,conditions.value
63,uri,http://www.wikidata.org/entity/Q2829779,en,literal,Alain Emmanuel Dreuilhe,literal,HIV/AIDS
64,uri,http://www.wikidata.org/entity/Q2831095,en,literal,Albert Delegue,literal,HIV/AIDS
65,uri,http://www.wikidata.org/entity/Q2863170,en,literal,Arnaud Marty-Lavauzelle,literal,HIV/AIDS
66,uri,http://www.wikidata.org/entity/Q2897813,en,literal,Bernard Dort,literal,HIV/AIDS
67,uri,http://www.wikidata.org/entity/Q2978768,en,literal,Cleews Vellay,literal,HIV/AIDS
68,uri,http://www.wikidata.org/entity/Q2989086,en,literal,Ivan Vdović,literal,HIV/AIDS
69,uri,http://www.wikidata.org/entity/Q3106079,en,literal,Gilles Barbedette,literal,HIV/AIDS
70,uri,http://www.wikidata.org/entity/Q3496409,en,literal,Pedro Zamora,literal,HIV/AIDS
71,uri,http://www.wikidata.org/entity/Q3498622,en,literal,Stephen Oliver,literal,HIV/AIDS
72,uri,http://www.wikidata.org/entity/Q3524468,en,literal,Thierry Paulin,literal,HIV/AIDS
73,uri,http://www.wikidata.org/entity/Q3570682,en,literal,Xavier Fourcade,literal,HIV/AIDS
74,uri,http://www.wikidata.org/entity/Q3573333,en,literal,Yvan Burger,literal,HIV/AIDS
75,uri,http://www.wikidata.org/entity/Q3856132,en,literal,Michael Callen,literal,HIV/AIDS
76,uri,http://www.wikidata.org/entity/Q3873440,en,literal,Navigator Dzinkambani,literal,HIV/AIDS
77,uri,http://www.wikidata.org/entity/Q4272060,en,literal,Arne Vidar Røed,literal,"HIV/AIDS, gonorrhea"
78,uri,http://www.wikidata.org/entity/Q4348620,en,literal,Ricky Wilson,literal,HIV/AIDS
79,uri,http://www.wikidata.org/entity/Q4864288,en,literal,Barry Hagan,literal,HIV/AIDS
80,uri,http://www.wikidata.org/entity/Q4934604,en,literal,Bobbi Campbell,literal,HIV/AIDS
81,uri,http://www.wikidata.org/entity/Q5442293,en,literal,Felix Partz,literal,HIV/AIDS
82,uri,http://www.wikidata.org/entity/Q5534471,en,literal,Geoffrey Bowers,literal,HIV/AIDS
83,uri,http://www.wikidata.org/entity/Q5607759,en,literal,Grethe Rask,literal,HIV/AIDS
84,uri,http://www.wikidata.org/entity/Q5676057,en,literal,Andrés Pérez,literal,HIV/AIDS
85,uri,http://www.wikidata.org/entity/Q5880211,en,literal,Giovanny Romero Infante,literal,HIV/AIDS
86,uri,http://www.wikidata.org/entity/Q7174975,en,literal,Peter Jepson-Young,literal,HIV/AIDS
87,uri,http://www.wikidata.org/entity/Q7323969,en,literal,Richard Barr,literal,HIV/AIDS
88,uri,http://www.wikidata.org/entity/Q7324129,en,literal,Richard Berkowitz,literal,HIV/AIDS
89,uri,http://www.wikidata.org/entity/Q7346671,en,literal,Robert La Tourneaux,literal,HIV/AIDS
90,uri,http://www.wikidata.org/entity/Q7351128,en,literal,Robert Williams,literal,HIV/AIDS
91,uri,http://www.wikidata.org/entity/Q7380371,en,literal,Rupert Whitaker,literal,HIV/AIDS
92,uri,http://www.wikidata.org/entity/Q7651076,en,literal,Suzi Lovegrove,literal,HIV/AIDS
93,uri,http://www.wikidata.org/entity/Q7804283,en,literal,Tim Sims,literal,HIV/AIDS
94,uri,http://www.wikidata.org/entity/Q9185254,en,literal,Catherine Lombard,literal,HIV/AIDS
95,uri,http://www.wikidata.org/entity/Q9784963,en,literal,Cláudia Magno,literal,HIV/AIDS
96,uri,http://www.wikidata.org/entity/Q10292662,en,literal,Gugu Dlamini,literal,HIV/AIDS
97,uri,http://www.wikidata.org/entity/Q10316596,en,literal,Lauro Corona,literal,HIV/AIDS
98,uri,http://www.wikidata.org/entity/Q10381076,en,literal,Thales Pan Chacon,literal,HIV/AIDS
99,uri,http://www.wikidata.org/entity/Q11881146,en,literal,Marko Salo,literal,HIV/AIDS
100,uri,http://www.wikidata.org/entity/Q12320199,en,literal,John Little,literal,HIV/AIDS
101,uri,http://www.wikidata.org/entity/Q12873337,en,literal,Alexis Bistikas,literal,HIV/AIDS
102,uri,http://www.wikidata.org/entity/Q12881298,en,literal,Billy Bo,literal,HIV/AIDS
103,uri,http://www.wikidata.org/entity/Q13745316,en,literal,Koos Prinsloo,literal,HIV/AIDS
104,uri,http://www.wikidata.org/entity/Q15122243,en,literal,Spencer Cox,literal,HIV/AIDS
105,uri,http://www.wikidata.org/entity/Q15456914,en,literal,Joseph F. Beam,literal,HIV/AIDS
106,uri,http://www.wikidata.org/entity/Q15918394,en,literal,Ted Stearn,literal,HIV/AIDS
107,uri,http://www.wikidata.org/entity/Q16010280,en,literal,Keith Barrow,literal,HIV/AIDS
108,uri,http://www.wikidata.org/entity/Q16597926,en,literal,Manolo Iglesias,literal,HIV/AIDS
109,uri,http://www.wikidata.org/entity/Q17627823,en,literal,Víctor Hugo Pérez Peñaloza,literal,HIV/AIDS
110,uri,http://www.wikidata.org/entity/Q18415613,en,literal,Jean-Baptiste Niel,literal,HIV/AIDS
111,uri,http://www.wikidata.org/entity/Q19974421,en,literal,Ernesto Barros Cardoso,literal,HIV/AIDS
112,uri,http://www.wikidata.org/entity/Q20492630,en,literal,Jon Salaberri,literal,HIV/AIDS
113,uri,http://www.wikidata.org/entity/Q21664913,en,literal,Jeffrey Schmalz,literal,HIV/AIDS
114,uri,http://www.wikidata.org/entity/Q22006290,en,literal,Dennis Levy,literal,HIV/AIDS
115,uri,http://www.wikidata.org/entity/Q23808688,en,literal,Gil Cuadros,literal,HIV/AIDS
116,uri,http://www.wikidata.org/entity/Q24578817,en,literal,Iannis Katsahnias,literal,HIV/AIDS
117,uri,http://www.wikidata.org/entity/Q27689433,en,literal,René Garralon,literal,HIV/AIDS
118,uri,http://www.wikidata.org/entity/Q28024369,en,literal,Dan Turner,literal,HIV/AIDS
119,uri,http://www.wikidata.org/entity/Q28595304,en,literal,Dom Orejudos,literal,HIV/AIDS
120,uri,http://www.wikidata.org/entity/Q30332144,en,literal,Jacques de Bascher,literal,HIV/AIDS
121,uri,http://www.wikidata.org/entity/Q42899047,en,literal,Robert Farber,literal,HIV/AIDS
122,uri,http://www.wikidata.org/entity/Q54563681,en,literal,Magaly Gilles-Giovannoni,literal,HIV/AIDS
