,person.type,person.value,sexorgender.xml:lang,sexorgender.type,sexorgender.value,personLabel.xml:lang,personLabel.type,personLabel.value
67,uri,http://www.wikidata.org/entity/Q16971556,en,literal,female,en,literal,Daphne Spain
68,uri,http://www.wikidata.org/entity/Q16982810,en,literal,female,en,literal,Elizabeth R. Varon
69,uri,http://www.wikidata.org/entity/Q16982959,en,literal,female,en,literal,Vivian Thomson
70,uri,http://www.wikidata.org/entity/Q18391484,en,literal,female,en,literal,Charlotte Patterson
71,uri,http://www.wikidata.org/entity/Q19564363,en,literal,female,en,literal,Irina Mitrea
72,uri,http://www.wikidata.org/entity/Q766750,en,literal,male,en,literal,Stéphane Audeguy
73,uri,http://www.wikidata.org/entity/Q845573,en,literal,male,en,literal,Jonathan Haidt
74,uri,http://www.wikidata.org/entity/Q945845,en,literal,male,en,literal,Ormond Stone
75,uri,http://www.wikidata.org/entity/Q973276,en,literal,male,en,literal,Dell Hymes
76,uri,http://www.wikidata.org/entity/Q973327,en,literal,male,en,literal,Fiske Kimball
77,uri,http://www.wikidata.org/entity/Q979076,en,literal,male,en,literal,Peter Matthew Hillsman Taylor
78,uri,http://www.wikidata.org/entity/Q1064064,en,literal,male,en,literal,Charles David Allis
79,uri,http://www.wikidata.org/entity/Q1065600,en,literal,male,en,literal,Charles N. Brower
80,uri,http://www.wikidata.org/entity/Q1116470,en,literal,male,en,literal,José María Valverde
81,uri,http://www.wikidata.org/entity/Q1173718,en,literal,male,en,literal,David Bentley Hart
82,uri,http://www.wikidata.org/entity/Q1173853,en,literal,male,en,literal,David Brydges
83,uri,http://www.wikidata.org/entity/Q1174571,en,literal,male,en,literal,David Gordon White
84,uri,http://www.wikidata.org/entity/Q1183434,en,literal,male,en,literal,Nicolás Cabrera
85,uri,http://www.wikidata.org/entity/Q1241017,en,literal,male,en,literal,Carlos Eire
86,uri,http://www.wikidata.org/entity/Q1288794,en,literal,male,en,literal,Alfred Burger
87,uri,http://www.wikidata.org/entity/Q1292667,en,literal,male,en,literal,Edward J. McShane
88,uri,http://www.wikidata.org/entity/Q1294503,en,literal,male,en,literal,Edwin E. Floyd
89,uri,http://www.wikidata.org/entity/Q1351528,en,literal,male,en,literal,Alexander Vyssotsky
90,uri,http://www.wikidata.org/entity/Q1352885,en,literal,male,en,literal,Harold Alden
91,uri,http://www.wikidata.org/entity/Q1362347,en,literal,male,en,literal,Randall Thompson
92,uri,http://www.wikidata.org/entity/Q1373155,en,literal,male,en,literal,Eugene Lane
93,uri,http://www.wikidata.org/entity/Q1392694,en,literal,male,en,literal,John Houbolt
94,uri,http://www.wikidata.org/entity/Q1393363,en,literal,male,en,literal,H. C. Erik Midelfort
95,uri,http://www.wikidata.org/entity/Q1422313,en,literal,male,en,literal,Ross Levine
96,uri,http://www.wikidata.org/entity/Q1432065,en,literal,male,en,literal,Solomon Morris Kupchan
97,uri,http://www.wikidata.org/entity/Q1480502,en,literal,male,en,literal,Scott Knowles DeVeaux
98,uri,http://www.wikidata.org/entity/Q1489004,en,literal,male,en,literal,Philip D. Zelikow
99,uri,http://www.wikidata.org/entity/Q1507776,en,literal,male,en,literal,George Long
100,uri,http://www.wikidata.org/entity/Q1508382,en,literal,male,en,literal,George Tucker
101,uri,http://www.wikidata.org/entity/Q1520800,en,literal,male,en,literal,John D'earth
102,uri,http://www.wikidata.org/entity/Q1538116,en,literal,male,en,literal,Gordon Thomas Whyburn
103,uri,http://www.wikidata.org/entity/Q1543895,en,literal,male,en,literal,Thomas E. Mann
104,uri,http://www.wikidata.org/entity/Q1553397,en,literal,male,en,literal,Peter M. Garber
105,uri,http://www.wikidata.org/entity/Q1555939,en,literal,male,en,literal,Gustav A. Hedlund
106,uri,http://www.wikidata.org/entity/Q1582765,en,literal,male,en,literal,Siva Vaidhyanathan
107,uri,http://www.wikidata.org/entity/Q1607275,en,literal,male,en,literal,"Henry St. George Tucker, Sr."
108,uri,http://www.wikidata.org/entity/Q1610293,en,literal,male,en,literal,Herman M. Schwartz
109,uri,http://www.wikidata.org/entity/Q1626035,en,literal,male,en,literal,Homer Smith
110,uri,http://www.wikidata.org/entity/Q1631482,en,literal,male,en,literal,Houston G. Wood III
111,uri,http://www.wikidata.org/entity/Q1655441,en,literal,male,en,literal,Ian Ayres
112,uri,http://www.wikidata.org/entity/Q1662745,en,literal,male,en,literal,William McDonough
113,uri,http://www.wikidata.org/entity/Q1663386,en,literal,male,en,literal,Janis Antonovics
114,uri,http://www.wikidata.org/entity/Q1676273,en,literal,male,en,literal,"Robert R. Merhige, Jr."
115,uri,http://www.wikidata.org/entity/Q1685513,en,literal,male,en,literal,Jean Fabre
116,uri,http://www.wikidata.org/entity/Q1686453,en,literal,male,en,literal,Jeffrey Hopkins
117,uri,http://www.wikidata.org/entity/Q1688195,en,literal,male,en,literal,Jesse Beams
118,uri,http://www.wikidata.org/entity/Q1691739,en,literal,male,en,literal,Joel Rubin
119,uri,http://www.wikidata.org/entity/Q1696311,en,literal,male,en,literal,Lennart Heimer
120,uri,http://www.wikidata.org/entity/Q1701091,en,literal,male,en,literal,John Francis Marchment Middleton
121,uri,http://www.wikidata.org/entity/Q1710863,en,literal,male,en,literal,Judah Moshe Eisenberg
122,uri,http://www.wikidata.org/entity/Q633049,en,literal,male,en,literal,Archibald A. Hill
123,uri,http://www.wikidata.org/entity/Q633081,en,literal,male,en,literal,Michael E. Mann
124,uri,http://www.wikidata.org/entity/Q671393,en,literal,male,en,literal,David D. Newsom
125,uri,http://www.wikidata.org/entity/Q679164,en,literal,male,en,literal,Dumas Malone
126,uri,http://www.wikidata.org/entity/Q703878,en,literal,male,en,literal,Herbert Stein
127,uri,http://www.wikidata.org/entity/Q709351,en,literal,male,en,literal,Arthur Fickenscher
128,uri,http://www.wikidata.org/entity/Q731300,en,literal,male,en,literal,Ian Stevenson
129,uri,http://www.wikidata.org/entity/Q760328,en,literal,male,en,literal,Ian Roderick Macneil
130,uri,http://www.wikidata.org/entity/Q7609641,en,literal,male,en,literal,Stephen K. White
131,uri,http://www.wikidata.org/entity/Q7610057,en,literal,male,en,literal,Stephen Mull
132,uri,http://www.wikidata.org/entity/Q7610721,en,literal,male,en,literal,Stephen Tuttle
133,uri,http://www.wikidata.org/entity/Q7615091,en,literal,male,en,literal,Steven Nock
134,uri,http://www.wikidata.org/entity/Q7693743,en,literal,male,en,literal,Ted Snyder
135,uri,http://www.wikidata.org/entity/Q7706889,en,literal,male,en,literal,Tetsundo Iwakuni
136,uri,http://www.wikidata.org/entity/Q7790651,en,literal,male,en,literal,Thomas Hewitt Key
137,uri,http://www.wikidata.org/entity/Q7804525,en,literal,male,en,literal,Tim Wu
138,uri,http://www.wikidata.org/entity/Q7807049,en,literal,male,en,literal,Timothy Beatley
139,uri,http://www.wikidata.org/entity/Q7807415,en,literal,male,en,literal,Timothy Naftali
140,uri,http://www.wikidata.org/entity/Q7807613,en,literal,male,en,literal,Timothy Wilson
141,uri,http://www.wikidata.org/entity/Q7811770,en,literal,male,en,literal,Toby Berger
142,uri,http://www.wikidata.org/entity/Q7812299,en,literal,male,en,literal,Todd Bullard
143,uri,http://www.wikidata.org/entity/Q7822139,en,literal,male,en,literal,Tony Crunk
144,uri,http://www.wikidata.org/entity/Q7922187,en,literal,male,en,literal,Vernon McCasland
145,uri,http://www.wikidata.org/entity/Q7945359,en,literal,male,en,literal,William Bradford Wilcox
146,uri,http://www.wikidata.org/entity/Q7945848,en,literal,male,en,literal,W. Nathaniel Howell
147,uri,http://www.wikidata.org/entity/Q7945941,en,literal,male,en,literal,W. Rice Warren
148,uri,http://www.wikidata.org/entity/Q7964381,en,literal,male,en,literal,Walter Broadnax
149,uri,http://www.wikidata.org/entity/Q8004841,en,literal,male,en,literal,William B. Quandt
150,uri,http://www.wikidata.org/entity/Q8012412,en,literal,male,en,literal,William Holding Echols
151,uri,http://www.wikidata.org/entity/Q8014433,en,literal,male,en,literal,William Lee Miller
152,uri,http://www.wikidata.org/entity/Q8018873,en,literal,male,en,literal,William Stone Weedon
153,uri,http://www.wikidata.org/entity/Q8020606,en,literal,male,en,literal,William Wulf
154,uri,http://www.wikidata.org/entity/Q8347862,en,literal,male,en,literal,Chen Chi-nan
155,uri,http://www.wikidata.org/entity/Q9008081,en,literal,male,en,literal,Imanol Ordorika Sacristán
156,uri,http://www.wikidata.org/entity/Q10305077,en,literal,male,en,literal,James G. Simmonds
157,uri,http://www.wikidata.org/entity/Q12021798,en,literal,male,en,literal,Ira Bashkow
158,uri,http://www.wikidata.org/entity/Q12061021,en,literal,male,en,literal,Michael Klarman
159,uri,http://www.wikidata.org/entity/Q12270118,en,literal,male,en,literal,Roger A. Chevalier
160,uri,http://www.wikidata.org/entity/Q13522421,en,literal,male,en,literal,Andrew Jackson O'Shaughnessy
161,uri,http://www.wikidata.org/entity/Q14946814,en,literal,male,en,literal,John Aitchison
162,uri,http://www.wikidata.org/entity/Q15129933,en,literal,male,en,literal,Stephen Plog
163,uri,http://www.wikidata.org/entity/Q15229573,en,literal,male,en,literal,Craig Huneke
164,uri,http://www.wikidata.org/entity/Q15402044,en,literal,male,en,literal,Michael H. Prosser
165,uri,http://www.wikidata.org/entity/Q15429427,en,literal,male,en,literal,Andrew P. Sage
166,uri,http://www.wikidata.org/entity/Q15429433,en,literal,male,en,literal,Arthur Kirsch
167,uri,http://www.wikidata.org/entity/Q15437407,en,literal,male,en,literal,Terry Belanger
168,uri,http://www.wikidata.org/entity/Q15442014,en,literal,male,en,literal,Henry J. Abraham
169,uri,http://www.wikidata.org/entity/Q15445634,en,literal,male,en,literal,Curtis Bradley
170,uri,http://www.wikidata.org/entity/Q15445742,en,literal,male,en,literal,John F. Hawley
171,uri,http://www.wikidata.org/entity/Q15453236,en,literal,male,en,literal,John Canaday
172,uri,http://www.wikidata.org/entity/Q15454670,en,literal,male,en,literal,Richard Guy Wilson
173,uri,http://www.wikidata.org/entity/Q15455690,en,literal,male,en,literal,Paul Cantor
174,uri,http://www.wikidata.org/entity/Q15458428,en,literal,male,en,literal,John A. Jane
175,uri,http://www.wikidata.org/entity/Q15462551,en,literal,male,en,literal,Miloš Velimirović
176,uri,http://www.wikidata.org/entity/Q15491258,en,literal,male,en,literal,James D. Savage
177,uri,http://www.wikidata.org/entity/Q15502161,en,literal,male,en,literal,James Deese
178,uri,http://www.wikidata.org/entity/Q15514842,en,literal,male,en,literal,Alan Taylor
179,uri,http://www.wikidata.org/entity/Q15833431,en,literal,male,en,literal,Malcolm Bell
180,uri,http://www.wikidata.org/entity/Q15839751,en,literal,male,en,literal,Paul Nahin
181,uri,http://www.wikidata.org/entity/Q15899053,en,literal,male,en,literal,Kostas Soukoulis
182,uri,http://www.wikidata.org/entity/Q15998569,en,literal,male,en,literal,Harrison Randolph
183,uri,http://www.wikidata.org/entity/Q16003606,en,literal,male,en,literal,James Bardin
184,uri,http://www.wikidata.org/entity/Q16007374,en,literal,male,en,literal,Henry Alexander Davidson
185,uri,http://www.wikidata.org/entity/Q16017884,en,literal,male,en,literal,Walter Pilkey
186,uri,http://www.wikidata.org/entity/Q16030377,en,literal,male,en,literal,Milton W. Humphreys
187,uri,http://www.wikidata.org/entity/Q16062810,en,literal,male,en,literal,Henry Scharf
188,uri,http://www.wikidata.org/entity/Q16095775,en,literal,male,en,literal,Michael Menaker
189,uri,http://www.wikidata.org/entity/Q16105071,en,literal,male,en,literal,Richard F. Edlich
190,uri,http://www.wikidata.org/entity/Q16105838,en,literal,male,en,literal,Lester Andrews
191,uri,http://www.wikidata.org/entity/Q16150522,en,literal,male,en,literal,Steven Balbus
192,uri,http://www.wikidata.org/entity/Q16151844,en,literal,male,en,literal,Joel Makower
193,uri,http://www.wikidata.org/entity/Q16205551,en,literal,male,en,literal,Anthony Corbeill
194,uri,http://www.wikidata.org/entity/Q16226607,en,literal,male,en,literal,Dennis Ippolito
195,uri,http://www.wikidata.org/entity/Q16525952,en,literal,male,en,literal,John A. Stankovic
196,uri,http://www.wikidata.org/entity/Q16729803,en,literal,male,en,literal,Frederick M. Hess
197,uri,http://www.wikidata.org/entity/Q16729867,en,literal,male,en,literal,LaVahn Hoh
198,uri,http://www.wikidata.org/entity/Q85747,en,literal,male,en,literal,Gernot Zippe
199,uri,http://www.wikidata.org/entity/Q133222,en,literal,male,en,literal,Clinton Davisson
200,uri,http://www.wikidata.org/entity/Q164311,en,literal,male,en,literal,Kevin Granata
201,uri,http://www.wikidata.org/entity/Q167754,en,literal,male,en,literal,Hardy Cross Dillard
202,uri,http://www.wikidata.org/entity/Q171989,en,literal,male,en,literal,James R. Schlesinger
203,uri,http://www.wikidata.org/entity/Q188113,en,literal,male,en,literal,Ronald Coase
204,uri,http://www.wikidata.org/entity/Q202136,en,literal,male,en,literal,Barry Marshall
205,uri,http://www.wikidata.org/entity/Q205353,en,literal,male,en,literal,James M. Buchanan
