,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sports.type,sports.value
9459,uri,http://www.wikidata.org/entity/Q5621152,en,literal,Gustav Hæhre,literal,rower
9460,uri,http://www.wikidata.org/entity/Q5637852,en,literal,Hadia Bentaleb,literal,fencer
9461,uri,http://www.wikidata.org/entity/Q5642480,en,literal,Halit Balamir,literal,amateur wrestler
9462,uri,http://www.wikidata.org/entity/Q5658356,en,literal,Adriana Millard,literal,"hurdler, long jumper, sprinter"
9463,uri,http://www.wikidata.org/entity/Q5671464,en,literal,Harry Parker,literal,"rowing coach, rower"
9464,uri,http://www.wikidata.org/entity/Q5707087,en,literal,Helle Simonsen,literal,curler
9465,uri,http://www.wikidata.org/entity/Q5715724,en,literal,Henri Thiolière,literal,ski jumper
9466,uri,http://www.wikidata.org/entity/Q5716305,en,literal,Henrik Hietakari,literal,marathon runner
9467,uri,http://www.wikidata.org/entity/Q5751143,en,literal,Carlos Neyra,literal,rower
9468,uri,http://www.wikidata.org/entity/Q5771154,en,literal,Hiroshi Yoshizawa,literal,"Nordic combined skier, ski jumper"
9469,uri,http://www.wikidata.org/entity/Q5794638,en,literal,He Jianbin,literal,swimmer
9470,uri,http://www.wikidata.org/entity/Q5795196,en,literal,Ingemar Hedberg,literal,"kayaker, canoeist"
9471,uri,http://www.wikidata.org/entity/Q5820704,en,literal,Hans Höglund,literal,shot putter
9472,uri,http://www.wikidata.org/entity/Q5872382,en,literal,Hitoshi Uematsu,literal,"short track speed skater, keirin cyclist"
9473,uri,http://www.wikidata.org/entity/Q5879539,en,literal,Helge Jansson,literal,"decathlete, high jumper"
9474,uri,http://www.wikidata.org/entity/Q5909439,en,literal,Kim Yong-Sik,literal,amateur wrestler
9475,uri,http://www.wikidata.org/entity/Q5923712,en,literal,Hristina Risteska,literal,athletics competitor
9476,uri,http://www.wikidata.org/entity/Q5935284,en,literal,Jorge Hugo Giraldo,literal,artistic gymnast
9477,uri,http://www.wikidata.org/entity/Q5936951,en,literal,Anders Larson,literal,rower
9478,uri,http://www.wikidata.org/entity/Q5937918,en,literal,Kent Larsson,literal,athletics competitor
9479,uri,http://www.wikidata.org/entity/Q5940079,en,literal,José Ginés Siu,literal,"artistic gymnast, coach"
9480,uri,http://www.wikidata.org/entity/Q5967391,en,literal,Göran Lundquist,literal,"competitive diver, actor"
9481,uri,http://www.wikidata.org/entity/Q5978612,en,literal,Joseph Marwa,literal,boxer
9482,uri,http://www.wikidata.org/entity/Q5983881,en,literal,Luis Martínez,literal,"sport shooter, athlete"
9483,uri,http://www.wikidata.org/entity/Q5992732,en,literal,Ignatius Gronkowski,literal,sport cyclist
9484,uri,http://www.wikidata.org/entity/Q5994809,en,literal,Ihor Yemchuk,literal,rower
9485,uri,http://www.wikidata.org/entity/Q5995640,en,literal,Ike Landvoigt,literal,rower
9486,uri,http://www.wikidata.org/entity/Q6001706,en,literal,Ilze Gribule,literal,athletics competitor
9487,uri,http://www.wikidata.org/entity/Q6031895,en,literal,Ingar Nordlund,literal,speed skater
9488,uri,http://www.wikidata.org/entity/Q6033442,en,literal,Ingus Janevics,literal,athletics competitor
9489,uri,http://www.wikidata.org/entity/Q6051126,en,literal,Onán Barreiros,literal,sailor
9490,uri,http://www.wikidata.org/entity/Q6078185,en,literal,Isabelle Boulogne,literal,canoeist
9491,uri,http://www.wikidata.org/entity/Q6078195,en,literal,Isabelle Chartrand,literal,ice hockey player
9492,uri,http://www.wikidata.org/entity/Q6089297,en,literal,István Maróthy,literal,amateur wrestler
9493,uri,http://www.wikidata.org/entity/Q6106071,en,literal,J. J. Isler,literal,sailor
9494,uri,http://www.wikidata.org/entity/Q6111386,en,literal,Roberts Rode,literal,alpine skier
9495,uri,http://www.wikidata.org/entity/Q6118519,en,literal,Jacob Dalton,literal,artistic gymnast
9496,uri,http://www.wikidata.org/entity/Q6120646,en,literal,Jacques Harvey,literal,athletics competitor
9497,uri,http://www.wikidata.org/entity/Q6127506,en,literal,Jamal Abdulrahman,literal,association football player
9498,uri,http://www.wikidata.org/entity/Q6134201,en,literal,James Fraser-Mackenzie,literal,rower
9499,uri,http://www.wikidata.org/entity/Q6145283,en,literal,James Weekes,literal,sailor
9500,uri,http://www.wikidata.org/entity/Q6151151,en,literal,Jane Bartle-Wilson,literal,dressage rider
9501,uri,http://www.wikidata.org/entity/Q6153638,en,literal,Janet Wanja,literal,volleyball player
9502,uri,http://www.wikidata.org/entity/Q6154306,en,literal,Richard Milton,literal,swimmer
9503,uri,http://www.wikidata.org/entity/Q6160733,en,literal,Jaroslava Sedláčková,literal,artistic gymnast
9504,uri,http://www.wikidata.org/entity/Q6165555,en,literal,Javier Hernanz,literal,"television personality, canoeist, model"
9505,uri,http://www.wikidata.org/entity/Q6169535,en,literal,Jean-Marc Grava,literal,athletics competitor
9506,uri,http://www.wikidata.org/entity/Q6171383,en,literal,Jean Pommat,literal,swimmer
9507,uri,http://www.wikidata.org/entity/Q6174827,en,literal,Óscar Insausti,literal,player of Basque pelota
9508,uri,http://www.wikidata.org/entity/Q6176398,en,literal,Jefimijs Klementjevs,literal,politician
9509,uri,http://www.wikidata.org/entity/Q6178898,en,literal,Jennifer Turrall,literal,swimmer
9510,uri,http://www.wikidata.org/entity/Q6179152,en,literal,Jenny Armstrong,literal,skipper
9511,uri,http://www.wikidata.org/entity/Q6179249,en,literal,Jenny Egnot,literal,sailor
9512,uri,http://www.wikidata.org/entity/Q6186742,en,literal,Jesse Phillips,literal,canoeist
9513,uri,http://www.wikidata.org/entity/Q6187086,en,literal,Jessica Ashwood,literal,swimmer
9514,uri,http://www.wikidata.org/entity/Q6191532,en,literal,Jiang Huachen,literal,amateur wrestler
9515,uri,http://www.wikidata.org/entity/Q6192482,en,literal,Jihane Samlal,literal,kayaker
9516,uri,http://www.wikidata.org/entity/Q6205886,en,literal,Joanna Leszczyńska,literal,rower
9517,uri,http://www.wikidata.org/entity/Q6206046,en,literal,Joanne Aluka,literal,basketball player
9518,uri,http://www.wikidata.org/entity/Q6214996,en,literal,Johan Cronje,literal,"middle-distance runner, athletics competitor"
9519,uri,http://www.wikidata.org/entity/Q6215518,en,literal,Johana Moreno,literal,athletics competitor
9520,uri,http://www.wikidata.org/entity/Q6216498,en,literal,Johannes Ahun,literal,"musician, sailor"
9521,uri,http://www.wikidata.org/entity/Q6221264,en,literal,John Beattie,literal,rower
9522,uri,http://www.wikidata.org/entity/Q6241186,en,literal,John J. McNamara,literal,writer
9523,uri,http://www.wikidata.org/entity/Q6246593,en,literal,John Mann,literal,water polo player
9524,uri,http://www.wikidata.org/entity/Q6246869,en,literal,John Marshall,literal,sailor
9525,uri,http://www.wikidata.org/entity/Q6254624,en,literal,Olle Åberg,literal,"middle-distance runner, firefighter"
9526,uri,http://www.wikidata.org/entity/Q6254945,en,literal,John Riley,literal,rower
9527,uri,http://www.wikidata.org/entity/Q6259477,en,literal,John Strotbeck,literal,rower
9528,uri,http://www.wikidata.org/entity/Q6269854,en,literal,Jolanta Dukure,literal,athletics competitor
9529,uri,http://www.wikidata.org/entity/Q6272660,en,literal,Jonathan Brown,literal,rower
9530,uri,http://www.wikidata.org/entity/Q6272714,en,literal,Valentin Robu,literal,rower
9531,uri,http://www.wikidata.org/entity/Q6279260,en,literal,José Ballbe,literal,field hockey player
9532,uri,http://www.wikidata.org/entity/Q6288533,en,literal,Josette Baisse,literal,cross-country skier
9533,uri,http://www.wikidata.org/entity/Q6288664,en,literal,Josh Binstock,literal,"beach volleyball player, volleyball player"
9534,uri,http://www.wikidata.org/entity/Q6289948,en,literal,Joshua Jefferis,literal,artistic gymnast
9535,uri,http://www.wikidata.org/entity/Q6291403,en,literal,José Antonio Casilla,literal,volleyball player
9536,uri,http://www.wikidata.org/entity/Q6292511,en,literal,José Novoa,literal,"handball coach, handball player"
9537,uri,http://www.wikidata.org/entity/Q6292827,en,literal,José Luis Pérez,literal,event rider
9538,uri,http://www.wikidata.org/entity/Q6305095,en,literal,Juhani Salovaara,literal,sailor
9539,uri,http://www.wikidata.org/entity/Q6306703,en,literal,Julia Sakara,literal,athletics competitor
9540,uri,http://www.wikidata.org/entity/Q6318589,en,literal,Justus Smith,literal,rower
9541,uri,http://www.wikidata.org/entity/Q6348919,en,literal,Kajetan Broniewski,literal,rower
9542,uri,http://www.wikidata.org/entity/Q6355038,en,literal,Kalyn Keller,literal,"intelligence analyst, swimmer"
9543,uri,http://www.wikidata.org/entity/Q6369268,en,literal,Karel Bártů,literal,"pentathlete, modern pentathlete"
9544,uri,http://www.wikidata.org/entity/Q6369791,en,literal,Karen Kraft,literal,rower
9545,uri,http://www.wikidata.org/entity/Q6375985,en,literal,Katerina Vidiaux,literal,amateur wrestler
9546,uri,http://www.wikidata.org/entity/Q6390692,en,literal,Kenneth Sitzberger,literal,competitive diver
9547,uri,http://www.wikidata.org/entity/Q6396726,en,literal,Kevin Kowalyk,literal,rower
9548,uri,http://www.wikidata.org/entity/Q6408817,en,literal,Kim Il-soon,literal,tennis player
9549,uri,http://www.wikidata.org/entity/Q6409337,en,literal,Kim Seon-young,literal,judoka
9550,uri,http://www.wikidata.org/entity/Q6416123,en,literal,Kirsten Wall,literal,curler
9551,uri,http://www.wikidata.org/entity/Q6416129,en,literal,Kirsti Biermann,literal,speed skater
9552,uri,http://www.wikidata.org/entity/Q6430173,en,literal,Konstantinos Mourikis,literal,water polo player
9553,uri,http://www.wikidata.org/entity/Q6437223,en,literal,Kris Kuehl,literal,athletics competitor
9554,uri,http://www.wikidata.org/entity/Q6437809,en,literal,Kristen Thorsness,literal,rower
9555,uri,http://www.wikidata.org/entity/Q6438133,en,literal,Kristin Hedstrom,literal,rower
9556,uri,http://www.wikidata.org/entity/Q6438246,en,literal,Kristina Larsen,literal,rower
9557,uri,http://www.wikidata.org/entity/Q6439794,en,literal,Krystina Alogbo,literal,water polo player
9558,uri,http://www.wikidata.org/entity/Q6469169,en,literal,Lacy Barnes-Mileham,literal,athletics competitor
9559,uri,http://www.wikidata.org/entity/Q6469666,en,literal,Ladislav Falta,literal,sport shooter
9560,uri,http://www.wikidata.org/entity/Q6480197,en,literal,Lalao Ravaonirina,literal,athletics competitor
9561,uri,http://www.wikidata.org/entity/Q6488601,en,literal,Lara Vadlau,literal,sailor
9562,uri,http://www.wikidata.org/entity/Q6489911,en,literal,Larry Barbiere,literal,"swimmer, lawyer"
9563,uri,http://www.wikidata.org/entity/Q6498908,en,literal,Laura Foralosso,literal,swimmer
9564,uri,http://www.wikidata.org/entity/Q6499472,en,literal,Laura Stacey,literal,ice hockey player
9565,uri,http://www.wikidata.org/entity/Q6501057,en,literal,Laurent Brissaud,literal,kayaker
9566,uri,http://www.wikidata.org/entity/Q6504634,en,literal,Lawrence Terry,literal,rower
9567,uri,http://www.wikidata.org/entity/Q6509335,en,literal,Madiea Ghafoor,literal,athletics competitor
9568,uri,http://www.wikidata.org/entity/Q6512857,en,literal,Lee-Ann Persse,literal,rower
9569,uri,http://www.wikidata.org/entity/Q6514143,en,literal,Lee Jeong-myung,literal,tennis player
9570,uri,http://www.wikidata.org/entity/Q6521987,en,literal,Len Taunyane,literal,marathon runner
9571,uri,http://www.wikidata.org/entity/Q6525673,en,literal,Leonard Robertson,literal,rower
9572,uri,http://www.wikidata.org/entity/Q6533425,en,literal,Letizia Nuzzo,literal,synchronized swimmer
9573,uri,http://www.wikidata.org/entity/Q6544299,en,literal,Liesbet Dreesen,literal,swimmer
9574,uri,http://www.wikidata.org/entity/Q6547482,en,literal,Lila Meesseman-Bakir,literal,synchronized swimmer
9575,uri,http://www.wikidata.org/entity/Q6552738,en,literal,Lindsay Jennerich,literal,rower
9576,uri,http://www.wikidata.org/entity/Q6580016,en,literal,Ikhtiyor Navruzov,literal,amateur wrestler
9577,uri,http://www.wikidata.org/entity/Q6590755,en,literal,Alexey Romashov,literal,ski jumper
9578,uri,http://www.wikidata.org/entity/Q6688981,en,literal,Louise Trappitt,literal,rower
9579,uri,http://www.wikidata.org/entity/Q6694921,en,literal,Lü Xiuzhi,literal,racewalker
9580,uri,http://www.wikidata.org/entity/Q6695632,en,literal,Luboš Hilgert,literal,kayaker
9581,uri,http://www.wikidata.org/entity/Q6695639,en,literal,Luboš Hilgert,literal,kayaker
9582,uri,http://www.wikidata.org/entity/Q6695950,en,literal,Luca Piemonte,literal,canoeist
9583,uri,http://www.wikidata.org/entity/Q6698634,en,literal,Lucía López,literal,field hockey player
9584,uri,http://www.wikidata.org/entity/Q6710540,en,literal,Lyudmila Krokhina,literal,rower
9585,uri,http://www.wikidata.org/entity/Q6727691,en,literal,Madias Nzesso,literal,weightlifter
9586,uri,http://www.wikidata.org/entity/Q6728406,en,literal,Eliora Zholkovski,literal,rhythmic gymnast
9587,uri,http://www.wikidata.org/entity/Q6743476,en,literal,Malick Fall,literal,swimmer
9588,uri,http://www.wikidata.org/entity/Q6745583,en,literal,Mame Maty Mbengue,literal,basketball player
9589,uri,http://www.wikidata.org/entity/Q6748302,en,literal,Mandy Leach,literal,swimmer
9590,uri,http://www.wikidata.org/entity/Q6759312,en,literal,Margaret Crowley,literal,speed skater
9591,uri,http://www.wikidata.org/entity/Q6761114,en,literal,Maria Constantinescu,literal,rower
9592,uri,http://www.wikidata.org/entity/Q6761487,en,literal,Maria Paziun,literal,rower
9593,uri,http://www.wikidata.org/entity/Q6766017,en,literal,Marius Žiūkas,literal,athletics competitor
9594,uri,http://www.wikidata.org/entity/Q6771825,en,literal,Marlies van Baalen,literal,dressage rider
9595,uri,http://www.wikidata.org/entity/Q6774162,en,literal,Marta Prat,literal,field hockey player
9596,uri,http://www.wikidata.org/entity/Q6780285,en,literal,Mary Mazzio,literal,"rower, film director, lawyer"
9597,uri,http://www.wikidata.org/entity/Q6780289,en,literal,Mary McCagg,literal,rower
9598,uri,http://www.wikidata.org/entity/Q6782057,en,literal,María Luisa Doig,literal,fencer
9599,uri,http://www.wikidata.org/entity/Q6782069,en,literal,María Luisa Servín,literal,athletics competitor
9600,uri,http://www.wikidata.org/entity/Q6782137,en,literal,Maria Trujillo,literal,marathon runner
9601,uri,http://www.wikidata.org/entity/Q6782652,en,literal,Masaru Motegi,literal,amateur wrestler
9602,uri,http://www.wikidata.org/entity/Q6786323,en,literal,Mate Arapov,literal,sailor
9603,uri,http://www.wikidata.org/entity/Q6787165,en,literal,Mathias Torstensen,literal,rower
9604,uri,http://www.wikidata.org/entity/Q6792130,en,literal,Matías Vila,literal,field hockey player
9605,uri,http://www.wikidata.org/entity/Q6793151,en,literal,Maurice Graffen,literal,kayaker
9606,uri,http://www.wikidata.org/entity/Q6809573,en,literal,Mehmet Ali Daylak,literal,amateur wrestler
9607,uri,http://www.wikidata.org/entity/Q6818713,en,literal,Mercy Akide,literal,association football player
9608,uri,http://www.wikidata.org/entity/Q6830983,en,literal,Michael Hart,literal,rower
9609,uri,http://www.wikidata.org/entity/Q6831685,en,literal,Michael Johnson,literal,field hockey player
9610,uri,http://www.wikidata.org/entity/Q6832525,en,literal,Michael Marinaro,literal,figure skater
9611,uri,http://www.wikidata.org/entity/Q6832884,en,literal,Michael Mooney,literal,sailor
9612,uri,http://www.wikidata.org/entity/Q6833032,en,literal,Mike Neary,literal,rower
9613,uri,http://www.wikidata.org/entity/Q6834652,en,literal,Michael Strange,literal,boxer
9614,uri,http://www.wikidata.org/entity/Q6836591,en,literal,Michel Trenchant,literal,canoeist
9615,uri,http://www.wikidata.org/entity/Q6837382,en,literal,Michiel Driessen,literal,fencer
9616,uri,http://www.wikidata.org/entity/Q6844669,en,literal,Miguel Mayol,literal,rower
9617,uri,http://www.wikidata.org/entity/Q6871376,en,literal,Miodrag Radulović,literal,association football player
9618,uri,http://www.wikidata.org/entity/Q6872196,en,literal,Mira Bryunina,literal,rower
9619,uri,http://www.wikidata.org/entity/Q6873279,en,literal,Miriam Batten,literal,rower
9620,uri,http://www.wikidata.org/entity/Q6884573,en,literal,Miyuki Yanagita,literal,association football player
9621,uri,http://www.wikidata.org/entity/Q6891830,en,literal,Mohammad Asad Malik,literal,field hockey player
9622,uri,http://www.wikidata.org/entity/Q6894691,en,literal,Moira Abernethy,literal,swimmer
9623,uri,http://www.wikidata.org/entity/Q6914543,en,literal,Morten Staubo,literal,"short track speed skater, speed skater"
9624,uri,http://www.wikidata.org/entity/Q6919179,en,literal,Mounir Benamadi,literal,judoka
9625,uri,http://www.wikidata.org/entity/Q6948197,en,literal,Myriam Glez,literal,synchronized swimmer
9626,uri,http://www.wikidata.org/entity/Q6949194,en,literal,Yehuda Maayan,literal,racing driver
9627,uri,http://www.wikidata.org/entity/Q6960179,en,literal,Rok Kolander,literal,rower
9628,uri,http://www.wikidata.org/entity/Q6961166,en,literal,Nam Yoo-Sun,literal,"swimmer, swimmer"
9629,uri,http://www.wikidata.org/entity/Q6962639,en,literal,Nancy Ditz,literal,marathon runner
9630,uri,http://www.wikidata.org/entity/Q6968053,en,literal,Natalia Más,literal,swimmer
9631,uri,http://www.wikidata.org/entity/Q6968138,en,literal,Natalie Burgener,literal,weightlifter
9632,uri,http://www.wikidata.org/entity/Q6968357,en,literal,Natalya Kayukova,literal,athletics competitor
9633,uri,http://www.wikidata.org/entity/Q6968378,en,literal,Natalya Ustinova,literal,swimmer
9634,uri,http://www.wikidata.org/entity/Q6969375,en,literal,Nathan Thomas,literal,water polo player
9635,uri,http://www.wikidata.org/entity/Q6989002,en,literal,Neil McLeod,literal,field hockey player
9636,uri,http://www.wikidata.org/entity/Q6998996,en,literal,Jean Couturier,literal,basketball player
9637,uri,http://www.wikidata.org/entity/Q7000030,en,literal,Lara van Ruijven,literal,"short track speed skater, speed skater"
9638,uri,http://www.wikidata.org/entity/Q7000067,en,literal,Charlotte Gilmartin,literal,short track speed skater
9639,uri,http://www.wikidata.org/entity/Q7029671,en,literal,Nicolas Gruson,literal,swimmer
9640,uri,http://www.wikidata.org/entity/Q7030711,en,literal,Nicu Stoian,literal,volleyball player
9641,uri,http://www.wikidata.org/entity/Q7036768,en,literal,Nikša Skelin,literal,rower
9642,uri,http://www.wikidata.org/entity/Q7038119,en,literal,Nina Roth,literal,curler
9643,uri,http://www.wikidata.org/entity/Q7042175,en,literal,Nizar Samlal,literal,canoeist
9644,uri,http://www.wikidata.org/entity/Q7043973,en,literal,Rebekah Stott,literal,association football player
9645,uri,http://www.wikidata.org/entity/Q7047151,en,literal,Noel Oxenbury,literal,swimmer
9646,uri,http://www.wikidata.org/entity/Q7082638,en,literal,Oksana Yarygina,literal,athletics competitor
9647,uri,http://www.wikidata.org/entity/Q7082995,en,literal,Olaf Solberg,literal,rower
9648,uri,http://www.wikidata.org/entity/Q7086424,en,literal,Olesea Cojuhari,literal,athletics competitor
9649,uri,http://www.wikidata.org/entity/Q7086697,en,literal,Olga Vasilchenko,literal,rower
9650,uri,http://www.wikidata.org/entity/Q7088174,en,literal,Olivier Martini,literal,fencer
9651,uri,http://www.wikidata.org/entity/Q7089675,en,literal,Omar Dia,literal,basketball player
9652,uri,http://www.wikidata.org/entity/Q7108735,en,literal,Otilio Olguín,literal,water polo player
9653,uri,http://www.wikidata.org/entity/Q7114350,en,literal,Owe Lostad,literal,rower
9654,uri,http://www.wikidata.org/entity/Q7129842,en,literal,Panagiotis Magdanis,literal,rower
9655,uri,http://www.wikidata.org/entity/Q7132167,en,literal,Paolo Carraro,literal,canoeist
9656,uri,http://www.wikidata.org/entity/Q7167456,en,literal,Percy Legard,literal,"pentathlete, modern pentathlete, Nordic combined skier, ski jumper"
9657,uri,http://www.wikidata.org/entity/Q7174307,en,literal,Peter Gorny,literal,rower
9658,uri,http://www.wikidata.org/entity/Q7174406,en,literal,Peter Grönholm,literal,"fencer, referee"
9659,uri,http://www.wikidata.org/entity/Q7175927,en,literal,Peter Montgomery,literal,water polo player
9660,uri,http://www.wikidata.org/entity/Q7178596,en,literal,Petr Vitásek,literal,rower
9661,uri,http://www.wikidata.org/entity/Q7181794,en,literal,Phil Coles,literal,canoeist
9662,uri,http://www.wikidata.org/entity/Q7188569,en,literal,Phyllis Harding,literal,swimmer
9663,uri,http://www.wikidata.org/entity/Q7192941,en,literal,Pietro Boscaini,literal,swimmer
9664,uri,http://www.wikidata.org/entity/Q7193035,en,literal,Pietro Ruta,literal,rower
9665,uri,http://www.wikidata.org/entity/Q7198828,en,literal,Pitch Johnson,literal,athletics competitor
9666,uri,http://www.wikidata.org/entity/Q7207744,en,literal,Poh Seng Song,literal,athletics competitor
9667,uri,http://www.wikidata.org/entity/Q7279209,en,literal,Rachel Crosbee,literal,canoeist
9668,uri,http://www.wikidata.org/entity/Q7282332,en,literal,Rafael Sterk,literal,water polo player
9669,uri,http://www.wikidata.org/entity/Q7282962,en,literal,Raghbir Singh Bhola,literal,field hockey player
9670,uri,http://www.wikidata.org/entity/Q7289615,en,literal,Ramiro Georgescu,literal,water polo player
9671,uri,http://www.wikidata.org/entity/Q7294862,en,literal,Rashi Ali Hadj Matumla,literal,boxer
9672,uri,http://www.wikidata.org/entity/Q7312690,en,literal,Renato Valentini,literal,alpine skier
9673,uri,http://www.wikidata.org/entity/Q7313741,en,literal,René Labat,literal,athletics competitor
9674,uri,http://www.wikidata.org/entity/Q7324075,en,literal,Richard Beesly,literal,rower
9675,uri,http://www.wikidata.org/entity/Q7324430,en,literal,Richard Budgett,literal,rower
9676,uri,http://www.wikidata.org/entity/Q7325274,en,literal,Richard Draeger,literal,rower
9677,uri,http://www.wikidata.org/entity/Q7327336,en,literal,Richard Leman,literal,field hockey player
9678,uri,http://www.wikidata.org/entity/Q7327956,en,literal,Richard Murphy,literal,rower
9679,uri,http://www.wikidata.org/entity/Q7334003,en,literal,Rika Saito,literal,weightlifter
9680,uri,http://www.wikidata.org/entity/Q7336605,en,literal,Rita Todorova,literal,rower
9681,uri,http://www.wikidata.org/entity/Q7340171,en,literal,Rob Hamill,literal,"rower, politician"
9682,uri,http://www.wikidata.org/entity/Q7342053,en,literal,Robert Berland,literal,judoka
9683,uri,http://www.wikidata.org/entity/Q7346244,en,literal,Robert Kaehler,literal,rower
9684,uri,http://www.wikidata.org/entity/Q7348840,en,literal,Robert Perew,literal,rower
9685,uri,http://www.wikidata.org/entity/Q7351932,en,literal,Roberto Urrutia,literal,weightlifter
9686,uri,http://www.wikidata.org/entity/Q7356490,en,literal,Roddy Lee,literal,"athletics competitor, sprinter, teacher"
9687,uri,http://www.wikidata.org/entity/Q7364769,en,literal,Ronald Crawford,literal,"water polo coach, water polo player"
9688,uri,http://www.wikidata.org/entity/Q7367842,en,literal,Rose Magers,literal,volleyball player
9689,uri,http://www.wikidata.org/entity/Q7382942,en,literal,Ruth Davidon,literal,rower
9690,uri,http://www.wikidata.org/entity/Q7384074,en,literal,Ryan Fry,literal,curler
9691,uri,http://www.wikidata.org/entity/Q7386492,en,literal,Róbert Mike,literal,canoeist
9692,uri,http://www.wikidata.org/entity/Q7396427,en,literal,Sabrina Richard,literal,weightlifter
9693,uri,http://www.wikidata.org/entity/Q7396432,en,literal,Sabrina Seminatore,literal,swimmer
9694,uri,http://www.wikidata.org/entity/Q7409352,en,literal,Sami Belgroun,literal,judoka
9695,uri,http://www.wikidata.org/entity/Q7421746,en,literal,Sara Pérez,literal,"triathlete, swimmer"
9696,uri,http://www.wikidata.org/entity/Q7421759,en,literal,Sara Ramírez,literal,table tennis player
9697,uri,http://www.wikidata.org/entity/Q7422119,en,literal,Sarah Boudens,literal,kayaker
9698,uri,http://www.wikidata.org/entity/Q7422349,en,literal,Sarah Gray,literal,rower
9699,uri,http://www.wikidata.org/entity/Q7422889,en,literal,Sarah Wells,literal,athletics competitor
9700,uri,http://www.wikidata.org/entity/Q7424543,en,literal,Sarra Lajnef,literal,swimmer
9701,uri,http://www.wikidata.org/entity/Q7429102,en,literal,Sayaka Matsumoto,literal,judoka
9702,uri,http://www.wikidata.org/entity/Q7435893,en,literal,Scott Andrews,literal,curler
9703,uri,http://www.wikidata.org/entity/Q7436313,en,literal,Scott Ferrier,literal,athletics competitor
9704,uri,http://www.wikidata.org/entity/Q7436506,en,literal,Scott Hobson,literal,field hockey player
9705,uri,http://www.wikidata.org/entity/Q7440867,en,literal,Sean Carlin,literal,athletics competitor
9706,uri,http://www.wikidata.org/entity/Q7442411,en,literal,Sebastian Earl,literal,rower
9707,uri,http://www.wikidata.org/entity/Q7454551,en,literal,Serhiy Biloushchenko,literal,rower
9708,uri,http://www.wikidata.org/entity/Q7509165,en,literal,Sidney Jelinek,literal,rower
9709,uri,http://www.wikidata.org/entity/Q7520267,en,literal,Simone Biles,literal,artistic gymnast
9710,uri,http://www.wikidata.org/entity/Q7524489,en,literal,Siniša Skelin,literal,rower
9711,uri,http://www.wikidata.org/entity/Q7553738,en,literal,Sofie Wolfs,literal,swimmer
9712,uri,http://www.wikidata.org/entity/Q7561712,en,literal,Sonia Heredia,literal,volleyball player
9713,uri,http://www.wikidata.org/entity/Q7610419,en,literal,Stephen Ruddy,literal,swimmer
9714,uri,http://www.wikidata.org/entity/Q7614693,en,literal,Steven Ferguson,literal,"canoeist, swimmer"
9715,uri,http://www.wikidata.org/entity/Q7616127,en,literal,Stian Bjørge,literal,speed skater
9716,uri,http://www.wikidata.org/entity/Q7634101,en,literal,Sue Haden,literal,"middle-distance runner, sprinter, sport cyclist"
9717,uri,http://www.wikidata.org/entity/Q7635749,en,literal,Sukenobu Kudō,literal,speed skater
9718,uri,http://www.wikidata.org/entity/Q7638000,en,literal,Sumner White,literal,skipper
9719,uri,http://www.wikidata.org/entity/Q7647757,en,literal,Susan Doerr,literal,swimmer
9720,uri,http://www.wikidata.org/entity/Q7648107,en,literal,Susan Lee,literal,"coxswain, real estate broker"
9721,uri,http://www.wikidata.org/entity/Q7648800,en,literal,Susanne Schmidt,literal,rower
9722,uri,http://www.wikidata.org/entity/Q7652591,en,literal,Svetlana Vanyo,literal,swimmer
9723,uri,http://www.wikidata.org/entity/Q7661058,en,literal,Sylvie Testuz,literal,swimmer
9724,uri,http://www.wikidata.org/entity/Q7667220,en,literal,Sławomir Kruszkowski,literal,rower
9725,uri,http://www.wikidata.org/entity/Q7683997,en,literal,Tanya Gandy,literal,water polo player
9726,uri,http://www.wikidata.org/entity/Q7688327,en,literal,Tatsuo Watanabe,literal,ski jumper
9727,uri,http://www.wikidata.org/entity/Q7688540,en,literal,Tatyana Devyatova,literal,swimmer
9728,uri,http://www.wikidata.org/entity/Q7705566,en,literal,Tess Gerrand,literal,rower
9729,uri,http://www.wikidata.org/entity/Q7788366,en,literal,Thomas Charlton,literal,rower
9730,uri,http://www.wikidata.org/entity/Q7793123,en,literal,Thomas Peszek,literal,rower
9731,uri,http://www.wikidata.org/entity/Q7793813,en,literal,Jean-Frédéric Chapuis,literal,freestyle skier
9732,uri,http://www.wikidata.org/entity/Q7795749,en,literal,Thompson Mann,literal,swimmer
9733,uri,http://www.wikidata.org/entity/Q7799895,en,literal,Thérèse Brisson,literal,ice hockey player
9734,uri,http://www.wikidata.org/entity/Q7812017,en,literal,Tochukwu Oluehi,literal,association football player
9735,uri,http://www.wikidata.org/entity/Q7823741,en,literal,Tony van Dorp,literal,water polo player
9736,uri,http://www.wikidata.org/entity/Q7825765,en,literal,Tori Trees,literal,swimmer
9737,uri,http://www.wikidata.org/entity/Q7831713,en,literal,Tracy Cox-Smyth,literal,competitive diver
9738,uri,http://www.wikidata.org/entity/Q7850329,en,literal,Tsutomu Kawasaki,literal,short track speed skater
9739,uri,http://www.wikidata.org/entity/Q7850413,en,literal,Tsvetana Bozhurina,literal,volleyball player
9740,uri,http://www.wikidata.org/entity/Q7909309,en,literal,Valbjörn Þorláksson,literal,athletics competitor
9741,uri,http://www.wikidata.org/entity/Q7909352,en,literal,Valdas Kazlauskas,literal,athletics competitor
