,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,conditions.type,conditions.value
0,uri,http://www.wikidata.org/entity/Q628679,en,literal,Grand Duke Michael Mikhailovich of Russia,literal,influenza
1,uri,http://www.wikidata.org/entity/Q661678,en,literal,Henry Brazeale Walthall,literal,influenza
2,uri,http://www.wikidata.org/entity/Q698151,en,literal,Bohumil Kubišta,literal,"influenza, 1918-1920 flu pandemic"
3,uri,http://www.wikidata.org/entity/Q709077,en,literal,John L. O'Sullivan,literal,influenza
4,uri,http://www.wikidata.org/entity/Q724677,en,literal,William Wilson Hunter,literal,influenza
5,uri,http://www.wikidata.org/entity/Q897653,en,literal,Ivan Milev,literal,influenza
6,uri,http://www.wikidata.org/entity/Q963076,en,literal,Frans De Haes,literal,influenza
7,uri,http://www.wikidata.org/entity/Q1317608,en,literal,Oskar Joost,literal,influenza
8,uri,http://www.wikidata.org/entity/Q1388853,en,literal,Jack MacGowran,literal,influenza
9,uri,http://www.wikidata.org/entity/Q1673162,en,literal,Alice Tully,literal,influenza
10,uri,http://www.wikidata.org/entity/Q2240702,en,literal,Princess Victoria Margaret of Prussia,literal,influenza
11,uri,http://www.wikidata.org/entity/Q2622578,en,literal,Vera Kholodnaya,literal,"influenza, 1918-1920 flu pandemic"
12,uri,http://www.wikidata.org/entity/Q2642653,en,literal,Alexander McNair,literal,influenza
13,uri,http://www.wikidata.org/entity/Q2835105,en,literal,Alfred Edwards,literal,influenza
14,uri,http://www.wikidata.org/entity/Q2871657,en,literal,Augustin de Beaulieu,literal,influenza
15,uri,http://www.wikidata.org/entity/Q3058884,en,literal,Estelita Rodriguez,literal,influenza
16,uri,http://www.wikidata.org/entity/Q3087071,en,literal,Frederick Cayley Robinson,literal,influenza
17,uri,http://www.wikidata.org/entity/Q3121402,en,literal,Gustavus Cheyney Doane,literal,influenza
18,uri,http://www.wikidata.org/entity/Q3182604,en,literal,John T. Ford,literal,influenza
19,uri,http://www.wikidata.org/entity/Q3533574,en,literal,Rafael Bolívar Coronado,literal,influenza
20,uri,http://www.wikidata.org/entity/Q3563901,,literal,Q3563901,literal,influenza
21,uri,http://www.wikidata.org/entity/Q3565921,en,literal,Walter Willson Cobbett,literal,influenza
22,uri,http://www.wikidata.org/entity/Q3715923,en,literal,Dudley Beaumont,literal,influenza
23,uri,http://www.wikidata.org/entity/Q3820926,en,literal,Hans E. Lau,literal,influenza
24,uri,http://www.wikidata.org/entity/Q4090201,en,literal,Boris Bozhnev,literal,influenza
25,uri,http://www.wikidata.org/entity/Q4150307,en,literal,Jāzeps Grosvalds,literal,influenza
26,uri,http://www.wikidata.org/entity/Q4208355,en,literal,William Cusins,literal,influenza
27,uri,http://www.wikidata.org/entity/Q4223760,en,literal,Nataša Klimova,literal,influenza
28,uri,http://www.wikidata.org/entity/Q4250968,en,literal,Achmad Soebardjo,literal,influenza
29,uri,http://www.wikidata.org/entity/Q4258950,en,literal,Leonty,literal,influenza
30,uri,http://www.wikidata.org/entity/Q4278999,en,literal,Shmulik Kraus,literal,influenza
31,uri,http://www.wikidata.org/entity/Q4786639,en,literal,Archie Cameron,literal,influenza
32,uri,http://www.wikidata.org/entity/Q4912566,en,literal,Billy Franey,literal,influenza
33,uri,http://www.wikidata.org/entity/Q5041214,en,literal,Carleton Ellis,literal,influenza
34,uri,http://www.wikidata.org/entity/Q5074913,en,literal,Charles A. Spring,literal,influenza
35,uri,http://www.wikidata.org/entity/Q5077621,en,literal,Charles Fenerty,literal,influenza
36,uri,http://www.wikidata.org/entity/Q5237447,en,literal,David McNaught,literal,influenza
37,uri,http://www.wikidata.org/entity/Q5272671,en,literal,Dick Bertell,literal,influenza
38,uri,http://www.wikidata.org/entity/Q5272749,en,literal,Dick Casey,literal,influenza
39,uri,http://www.wikidata.org/entity/Q5301564,en,literal,Douglas Hamilton,literal,influenza
40,uri,http://www.wikidata.org/entity/Q5322172,en,literal,Ernest Charles Temple Thurston,literal,influenza
41,uri,http://www.wikidata.org/entity/Q5336338,en,literal,Eddie Mummery,literal,influenza
42,uri,http://www.wikidata.org/entity/Q5347718,en,literal,Egbert Seymour,literal,influenza
43,uri,http://www.wikidata.org/entity/Q5497020,en,literal,Frederic Edward Manby,literal,influenza
