,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,ethnicity.type,ethnicity.value
72,uri,http://www.wikidata.org/entity/Q1351528,en,literal,Alexander Vyssotsky,literal,
73,uri,http://www.wikidata.org/entity/Q1352885,en,literal,Harold Alden,literal,
74,uri,http://www.wikidata.org/entity/Q1362347,en,literal,Randall Thompson,literal,
75,uri,http://www.wikidata.org/entity/Q1373155,en,literal,Eugene Lane,literal,
76,uri,http://www.wikidata.org/entity/Q1392694,en,literal,John Houbolt,literal,
77,uri,http://www.wikidata.org/entity/Q1393363,en,literal,H. C. Erik Midelfort,literal,
78,uri,http://www.wikidata.org/entity/Q1422313,en,literal,Ross Levine,literal,
79,uri,http://www.wikidata.org/entity/Q1432065,en,literal,Solomon Morris Kupchan,literal,
80,uri,http://www.wikidata.org/entity/Q1480502,en,literal,Scott Knowles DeVeaux,literal,
81,uri,http://www.wikidata.org/entity/Q1489004,en,literal,Philip D. Zelikow,literal,
82,uri,http://www.wikidata.org/entity/Q1507776,en,literal,George Long,literal,
83,uri,http://www.wikidata.org/entity/Q1508382,en,literal,George Tucker,literal,
84,uri,http://www.wikidata.org/entity/Q1520800,en,literal,John D'earth,literal,
85,uri,http://www.wikidata.org/entity/Q1538116,en,literal,Gordon Thomas Whyburn,literal,
86,uri,http://www.wikidata.org/entity/Q1543895,en,literal,Thomas E. Mann,literal,
87,uri,http://www.wikidata.org/entity/Q1553397,en,literal,Peter M. Garber,literal,
88,uri,http://www.wikidata.org/entity/Q1555939,en,literal,Gustav A. Hedlund,literal,
89,uri,http://www.wikidata.org/entity/Q1582765,en,literal,Siva Vaidhyanathan,literal,
90,uri,http://www.wikidata.org/entity/Q1607275,en,literal,"Henry St. George Tucker, Sr.",literal,
91,uri,http://www.wikidata.org/entity/Q1610293,en,literal,Herman M. Schwartz,literal,
92,uri,http://www.wikidata.org/entity/Q1626035,en,literal,Homer Smith,literal,
93,uri,http://www.wikidata.org/entity/Q1631482,en,literal,Houston G. Wood III,literal,
94,uri,http://www.wikidata.org/entity/Q1655441,en,literal,Ian Ayres,literal,
95,uri,http://www.wikidata.org/entity/Q1662745,en,literal,William McDonough,literal,
96,uri,http://www.wikidata.org/entity/Q1663386,en,literal,Janis Antonovics,literal,
97,uri,http://www.wikidata.org/entity/Q1676273,en,literal,"Robert R. Merhige, Jr.",literal,
98,uri,http://www.wikidata.org/entity/Q1685513,en,literal,Jean Fabre,literal,
99,uri,http://www.wikidata.org/entity/Q1686453,en,literal,Jeffrey Hopkins,literal,
100,uri,http://www.wikidata.org/entity/Q1688195,en,literal,Jesse Beams,literal,
101,uri,http://www.wikidata.org/entity/Q1691739,en,literal,Joel Rubin,literal,
102,uri,http://www.wikidata.org/entity/Q1696311,en,literal,Lennart Heimer,literal,
103,uri,http://www.wikidata.org/entity/Q1701091,en,literal,John Francis Marchment Middleton,literal,
104,uri,http://www.wikidata.org/entity/Q1710863,en,literal,Judah Moshe Eisenberg,literal,
105,uri,http://www.wikidata.org/entity/Q1711079,en,literal,Judith Shatin,literal,
106,uri,http://www.wikidata.org/entity/Q1729266,en,literal,Karen Parshall,literal,
107,uri,http://www.wikidata.org/entity/Q1738659,en,literal,Ken Ono,literal,
108,uri,http://www.wikidata.org/entity/Q1740168,en,literal,Kevin Hart,literal,
109,uri,http://www.wikidata.org/entity/Q1819016,en,literal,Leonard Mirman,literal,
