,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
82,uri,http://www.wikidata.org/entity/Q81480,en,literal,Angelika Bahmann
83,uri,http://www.wikidata.org/entity/Q91269,en,literal,Anja Noske
84,uri,http://www.wikidata.org/entity/Q86125,en,literal,Anke Kühn
85,uri,http://www.wikidata.org/entity/Q90774,en,literal,Anna Wörner
86,uri,http://www.wikidata.org/entity/Q85954,en,literal,Bahne Rabe
87,uri,http://www.wikidata.org/entity/Q95612,en,literal,Carolin Golubytskyi
88,uri,http://www.wikidata.org/entity/Q95653,en,literal,Caroline Masson
89,uri,http://www.wikidata.org/entity/Q95731,en,literal,Christian Ahlmann
90,uri,http://www.wikidata.org/entity/Q95334,en,literal,Christian Blunck
91,uri,http://www.wikidata.org/entity/Q85030,en,literal,Christian Dünnes
92,uri,http://www.wikidata.org/entity/Q83007,en,literal,Christine Mailliet
93,uri,http://www.wikidata.org/entity/Q85478,en,literal,Cornelia Dumler
94,uri,http://www.wikidata.org/entity/Q91314,en,literal,Dieter Arend
95,uri,http://www.wikidata.org/entity/Q84985,en,literal,Heinrich Isser
96,uri,http://www.wikidata.org/entity/Q95882,en,literal,Konrad Wirnhier
97,uri,http://www.wikidata.org/entity/Q91305,en,literal,Kraft Schepke
98,uri,http://www.wikidata.org/entity/Q93764,en,literal,Liese Prokop
99,uri,http://www.wikidata.org/entity/Q91193,en,literal,Lisa Brennauer
100,uri,http://www.wikidata.org/entity/Q87340,en,literal,Meike Freitag
101,uri,http://www.wikidata.org/entity/Q88637,en,literal,Michael Roth
102,uri,http://www.wikidata.org/entity/Q94763,en,literal,Patrick Chan
103,uri,http://www.wikidata.org/entity/Q26261222,en,literal,Robert Fuchs
104,uri,http://www.wikidata.org/entity/Q85495,en,literal,Steffi Kräker
105,uri,http://www.wikidata.org/entity/Q78622,en,literal,Tina Weirather
106,uri,http://www.wikidata.org/entity/Q88188,en,literal,Toni Seifert
107,uri,http://www.wikidata.org/entity/Q89819,en,literal,Wolfgang Steinmayr
108,uri,http://www.wikidata.org/entity/Q119951,en,literal,Aivaras Baranauskas
109,uri,http://www.wikidata.org/entity/Q116631,en,literal,André Bucher
110,uri,http://www.wikidata.org/entity/Q99089,en,literal,Anton Kehle
111,uri,http://www.wikidata.org/entity/Q101403,en,literal,Beate Bühler
112,uri,http://www.wikidata.org/entity/Q107864,en,literal,Christoph Fildebrandt
113,uri,http://www.wikidata.org/entity/Q108118,en,literal,Claudia Rath
114,uri,http://www.wikidata.org/entity/Q117754,en,literal,Detelin Dalakliev
115,uri,http://www.wikidata.org/entity/Q117730,en,literal,Erik Svensson
116,uri,http://www.wikidata.org/entity/Q109259,en,literal,Horst Effertz
117,uri,http://www.wikidata.org/entity/Q100074,en,literal,Jessie Diggins
118,uri,http://www.wikidata.org/entity/Q709923,en,literal,João Vieira
119,uri,http://www.wikidata.org/entity/Q103772,en,literal,Jörg Lucke
120,uri,http://www.wikidata.org/entity/Q106468,en,literal,Josef Ferstl
121,uri,http://www.wikidata.org/entity/Q117328,en,literal,Julia Müller
122,uri,http://www.wikidata.org/entity/Q100215,en,literal,Justus Scharowsky
123,uri,http://www.wikidata.org/entity/Q117228,en,literal,Luigi Pennacchio
124,uri,http://www.wikidata.org/entity/Q1928763,en,literal,Michael Obst
125,uri,http://www.wikidata.org/entity/Q26205963,en,literal,Nico Müller
126,uri,http://www.wikidata.org/entity/Q16166287,en,literal,Paul Berg
127,uri,http://www.wikidata.org/entity/Q107657,en,literal,Peter Berger
128,uri,http://www.wikidata.org/entity/Q1337156,en,literal,Pietro Lombardi
129,uri,http://www.wikidata.org/entity/Q100273,en,literal,Sabine Huth
130,uri,http://www.wikidata.org/entity/Q117632,en,literal,Sina Candrian
131,uri,http://www.wikidata.org/entity/Q102013,en,literal,Tanja Hart
132,uri,http://www.wikidata.org/entity/Q120479,en,literal,Tarjei Bø
133,uri,http://www.wikidata.org/entity/Q112995,en,literal,Wolfgang Dessecker
134,uri,http://www.wikidata.org/entity/Q128360,en,literal,Eirik Brandsdal
135,uri,http://www.wikidata.org/entity/Q132488,en,literal,Florence Baverel-Robert
136,uri,http://www.wikidata.org/entity/Q124752,en,literal,Helga Hoffmann
137,uri,http://www.wikidata.org/entity/Q138587,en,literal,Herbert Morris
138,uri,http://www.wikidata.org/entity/Q139616,en,literal,Inārs Kivlenieks
139,uri,http://www.wikidata.org/entity/Q121188,en,literal,Jana Berezko-Marggrander
140,uri,http://www.wikidata.org/entity/Q142045,en,literal,Marco Mariani
141,uri,http://www.wikidata.org/entity/Q126119,en,literal,Michał Jeliński
142,uri,http://www.wikidata.org/entity/Q125707,en,literal,Mujinga Kambundji
143,uri,http://www.wikidata.org/entity/Q132303,en,literal,Robert Lindsay
144,uri,http://www.wikidata.org/entity/Q128517,en,literal,Romain Sassot
145,uri,http://www.wikidata.org/entity/Q132147,en,literal,Sania Mirza
146,uri,http://www.wikidata.org/entity/Q126037,en,literal,Yūki Itō
147,uri,http://www.wikidata.org/entity/Q156182,en,literal,Carl Schuhmann
148,uri,http://www.wikidata.org/entity/Q155109,en,literal,Giovanna Trillini
149,uri,http://www.wikidata.org/entity/Q145101,en,literal,Itte Detenamo
150,uri,http://www.wikidata.org/entity/Q964871,en,literal,John Napier
151,uri,http://www.wikidata.org/entity/Q153810,en,literal,Judikje Simons
152,uri,http://www.wikidata.org/entity/Q2142404,en,literal,Robert Taylor
153,uri,http://www.wikidata.org/entity/Q179364,en,literal,Andrei Pavel
154,uri,http://www.wikidata.org/entity/Q168495,en,literal,Boughera El Ouafi
155,uri,http://www.wikidata.org/entity/Q47501004,en,literal,Daniel Alves
156,uri,http://www.wikidata.org/entity/Q179607,en,literal,Erik Read
157,uri,http://www.wikidata.org/entity/Q180487,en,literal,Georges Rigal
158,uri,http://www.wikidata.org/entity/Q164041,en,literal,Horst Weigang
159,uri,http://www.wikidata.org/entity/Q177457,en,literal,Hu Jia
160,uri,http://www.wikidata.org/entity/Q171306,en,literal,Shin Joon-sup
161,uri,http://www.wikidata.org/entity/Q180748,en,literal,Mark Spitz
162,uri,http://www.wikidata.org/entity/Q175684,en,literal,Reinhold Pommer
163,uri,http://www.wikidata.org/entity/Q180299,en,literal,Veli Saarinen
164,uri,http://www.wikidata.org/entity/Q178271,en,literal,Volodymyr Duma
165,uri,http://www.wikidata.org/entity/Q168086,en,literal,Zbigniew Jaremski
166,uri,http://www.wikidata.org/entity/Q169044,en,literal,Zdeněk Pecka
167,uri,http://www.wikidata.org/entity/Q169266,en,literal,Zdzisław Krzyszkowiak
168,uri,http://www.wikidata.org/entity/Q187488,en,literal,Aaron Cook
169,uri,http://www.wikidata.org/entity/Q198965,en,literal,Erwina Ryś-Ferens
170,uri,http://www.wikidata.org/entity/Q198672,en,literal,Evgenia Tarasova
171,uri,http://www.wikidata.org/entity/Q200852,en,literal,Günther Huber
172,uri,http://www.wikidata.org/entity/Q197185,en,literal,Zhang Guowei
173,uri,http://www.wikidata.org/entity/Q197805,en,literal,Zhong Huandi
174,uri,http://www.wikidata.org/entity/Q197209,en,literal,Zhang Jiewen
175,uri,http://www.wikidata.org/entity/Q190924,en,literal,Michael Johnson
176,uri,http://www.wikidata.org/entity/Q198913,en,literal,Nina Statkevich
177,uri,http://www.wikidata.org/entity/Q7822664,en,literal,Tony Johnson
178,uri,http://www.wikidata.org/entity/Q194148,en,literal,Sandro Sambugaro
179,uri,http://www.wikidata.org/entity/Q197288,en,literal,Zhang Shuang
180,uri,http://www.wikidata.org/entity/Q8070310,en,literal,Zhang Shuang
181,uri,http://www.wikidata.org/entity/Q198575,en,literal,Suleiman Nyambui
182,uri,http://www.wikidata.org/entity/Q192033,en,literal,Zersenay Tadese
183,uri,http://www.wikidata.org/entity/Q197944,en,literal,Zhor El Kamch
184,uri,http://www.wikidata.org/entity/Q213427,en,literal,Aaron Ramsey
185,uri,http://www.wikidata.org/entity/Q203982,en,literal,Adam Małysz
186,uri,http://www.wikidata.org/entity/Q203291,en,literal,Ana Drev
187,uri,http://www.wikidata.org/entity/Q1393139,en,literal,Daniel Gómez
188,uri,http://www.wikidata.org/entity/Q209193,en,literal,Darya Domracheva
189,uri,http://www.wikidata.org/entity/Q1181130,en,literal,Dean Smith
190,uri,http://www.wikidata.org/entity/Q217354,en,literal,Gail Devers
191,uri,http://www.wikidata.org/entity/Q202711,en,literal,Jānis Sprukts
192,uri,http://www.wikidata.org/entity/Q208693,en,literal,Javier Sotomayor
193,uri,http://www.wikidata.org/entity/Q207358,en,literal,João Havelange
194,uri,http://www.wikidata.org/entity/Q203991,en,literal,Kaitlyn Lawes
195,uri,http://www.wikidata.org/entity/Q204620,en,literal,Natalya Gorelova
196,uri,http://www.wikidata.org/entity/Q219309,en,literal,Nikolai Andrianov
197,uri,http://www.wikidata.org/entity/Q219040,en,literal,Zoltán Szécsi
198,uri,http://www.wikidata.org/entity/Q220519,en,literal,Zoran Janković
199,uri,http://www.wikidata.org/entity/Q229640,en,literal,Anastasiya Kuzmina
200,uri,http://www.wikidata.org/entity/Q231513,en,literal,Bonnie Blair
201,uri,http://www.wikidata.org/entity/Q230260,en,literal,Carla Suárez Navarro
202,uri,http://www.wikidata.org/entity/Q225985,en,literal,Eder Sánchez Arraiz
203,uri,http://www.wikidata.org/entity/Q235151,en,literal,Betty Robinson
204,uri,http://www.wikidata.org/entity/Q242362,en,literal,Ethel Smith
205,uri,http://www.wikidata.org/entity/Q235624,en,literal,Fani Chalkia
206,uri,http://www.wikidata.org/entity/Q235780,en,literal,Femke Heemskerk
207,uri,http://www.wikidata.org/entity/Q238219,en,literal,Fiona May
208,uri,http://www.wikidata.org/entity/Q231979,en,literal,Gabriela Szabo
209,uri,http://www.wikidata.org/entity/Q241057,en,literal,Helena Fibingerová
210,uri,http://www.wikidata.org/entity/Q235527,en,literal,Helena Ekholm
211,uri,http://www.wikidata.org/entity/Q239979,en,literal,Ibolya Csák
212,uri,http://www.wikidata.org/entity/Q236423,en,literal,Inge Dekker
213,uri,http://www.wikidata.org/entity/Q233308,en,literal,Ivet Lalova-Collio
214,uri,http://www.wikidata.org/entity/Q233834,en,literal,Jeannie Longo
215,uri,http://www.wikidata.org/entity/Q241737,en,literal,Joan Benoit Samuelson
216,uri,http://www.wikidata.org/entity/Q231965,en,literal,Kajsa Bergqvist
217,uri,http://www.wikidata.org/entity/Q221185,en,literal,Kateřina Emmons
218,uri,http://www.wikidata.org/entity/Q239139,en,literal,Kerron Stewart
219,uri,http://www.wikidata.org/entity/Q229015,en,literal,Krisztina Egerszegi
220,uri,http://www.wikidata.org/entity/Q234158,en,literal,Leontien van Moorsel
221,uri,http://www.wikidata.org/entity/Q242827,en,literal,Maki Tabata
222,uri,http://www.wikidata.org/entity/Q241266,en,literal,Maksim Anisimov
223,uri,http://www.wikidata.org/entity/Q240036,en,literal,Masako Hozumi
224,uri,http://www.wikidata.org/entity/Q233498,en,literal,Michaela Dorfmeister
225,uri,http://www.wikidata.org/entity/Q225913,en,literal,Miruts Yifter
226,uri,http://www.wikidata.org/entity/Q238700,en,literal,Mizuki Noguchi
227,uri,http://www.wikidata.org/entity/Q235058,en,literal,Olga Zaitseva
228,uri,http://www.wikidata.org/entity/Q233672,en,literal,Paula Radcliffe
229,uri,http://www.wikidata.org/entity/Q234886,en,literal,Pernilla Wiberg
230,uri,http://www.wikidata.org/entity/Q222350,en,literal,Piotr Haczek
231,uri,http://www.wikidata.org/entity/Q235774,en,literal,Rica Reinisch
232,uri,http://www.wikidata.org/entity/Q235035,en,literal,Sandra Izbașa
233,uri,http://www.wikidata.org/entity/Q240351,en,literal,Sara Isaković
234,uri,http://www.wikidata.org/entity/Q241563,en,literal,Sari Essayah
235,uri,http://www.wikidata.org/entity/Q230954,en,literal,Shirley Strickland
236,uri,http://www.wikidata.org/entity/Q237280,en,literal,Simona Amânar
237,uri,http://www.wikidata.org/entity/Q230156,en,literal,Simona Halep
238,uri,http://www.wikidata.org/entity/Q232831,en,literal,Suzanne Lenglen
239,uri,http://www.wikidata.org/entity/Q233925,en,literal,Tamara Bykova
240,uri,http://www.wikidata.org/entity/Q236306,en,literal,Tatyana Kotova
