,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value,sexgenderLabel.xml:lang,sexgenderLabel.type,sexgenderLabel.value,conditions.type,conditions.value
5322,uri,http://www.wikidata.org/entity/Q1960444,en,literal,Fricis Apšenieks,en,literal,male,literal,tuberculosis
5323,uri,http://www.wikidata.org/entity/Q1960513,en,literal,Vadim Shershenevich,en,literal,male,literal,tuberculosis
5324,uri,http://www.wikidata.org/entity/Q1966358,en,literal,Simonas Stanevičius,en,literal,male,literal,tuberculosis
5325,uri,http://www.wikidata.org/entity/Q1970429,en,literal,Vladimir Shileyko,en,literal,male,literal,tuberculosis
5326,uri,http://www.wikidata.org/entity/Q1984317,en,literal,Alexander Bogomazov,en,literal,male,literal,tuberculosis
5327,uri,http://www.wikidata.org/entity/Q1985999,en,literal,William Wirt Winchester,en,literal,male,literal,tuberculosis
5328,uri,http://www.wikidata.org/entity/Q1990139,en,literal,Rufus Wilmot Griswold,en,literal,male,literal,tuberculosis
5329,uri,http://www.wikidata.org/entity/Q1993502,en,literal,John Wisker,en,literal,male,literal,tuberculosis
5330,uri,http://www.wikidata.org/entity/Q1998006,en,literal,"Marie Thérèse, Madame Royale",en,literal,female,literal,tuberculosis
5331,uri,http://www.wikidata.org/entity/Q2002336,en,literal,Virginia Lee Corbin,en,literal,female,literal,tuberculosis
5332,uri,http://www.wikidata.org/entity/Q2005862,en,literal,Jali Nyama Suso,en,literal,male,literal,tuberculosis
5333,uri,http://www.wikidata.org/entity/Q2038439,en,literal,Christian Dotremont,en,literal,male,literal,tuberculosis
5334,uri,http://www.wikidata.org/entity/Q2043379,en,literal,O'Neill Spencer,en,literal,male,literal,tuberculosis
5335,uri,http://www.wikidata.org/entity/Q2054275,en,literal,George M. Gebhardt,en,literal,male,literal,tuberculosis
5336,uri,http://www.wikidata.org/entity/Q2065760,en,literal,Władysław Podkowiński,en,literal,male,literal,tuberculosis
5337,uri,http://www.wikidata.org/entity/Q2065905,en,literal,Georgiana Drew,en,literal,female,literal,tuberculosis
5338,uri,http://www.wikidata.org/entity/Q2067103,en,literal,William Light,en,literal,male,literal,tuberculosis
5339,uri,http://www.wikidata.org/entity/Q2073529,en,literal,Edouard Beaupré,en,literal,male,literal,"tuberculosis, gigantism"
5340,uri,http://www.wikidata.org/entity/Q2165126,en,literal,Rudolf Nilsen,en,literal,male,literal,tuberculosis
5341,uri,http://www.wikidata.org/entity/Q2173210,en,literal,Rudolf Komorek,en,literal,male,literal,tuberculosis
5342,uri,http://www.wikidata.org/entity/Q2260045,en,literal,Lucrezia Aguiari,en,literal,female,literal,tuberculosis
5343,uri,http://www.wikidata.org/entity/Q2262497,en,literal,Nikolai Riumin,en,literal,male,literal,tuberculosis
5344,uri,http://www.wikidata.org/entity/Q2265391,en,literal,Luis Brión,en,literal,male,literal,tuberculosis
5345,uri,http://www.wikidata.org/entity/Q2278889,en,literal,Shimaki Kensaku,en,literal,male,literal,tuberculosis
5346,uri,http://www.wikidata.org/entity/Q2294413,en,literal,Corinne Luchaire,en,literal,female,literal,tuberculosis
5347,uri,http://www.wikidata.org/entity/Q2295957,en,literal,Snoozer Quinn,en,literal,male,literal,tuberculosis
5348,uri,http://www.wikidata.org/entity/Q2296345,en,literal,António Augusto Soares de Passos,en,literal,male,literal,tuberculosis
5349,uri,http://www.wikidata.org/entity/Q2371283,en,literal,Alexander Levitov,en,literal,male,literal,tuberculosis
5350,uri,http://www.wikidata.org/entity/Q2377500,en,literal,Virginia Eliza Clemm Poe,en,literal,female,literal,tuberculosis
5351,uri,http://www.wikidata.org/entity/Q2381420,en,literal,Charles Wolfe,en,literal,male,literal,tuberculosis
5352,uri,http://www.wikidata.org/entity/Q2383390,en,literal,Gustave Maroteau,en,literal,male,literal,tuberculosis
5353,uri,http://www.wikidata.org/entity/Q2392554,en,literal,Iulia Hasdeu,en,literal,female,literal,tuberculosis
5354,uri,http://www.wikidata.org/entity/Q2393901,en,literal,Jim Driscoll,en,literal,male,literal,tuberculosis
5355,uri,http://www.wikidata.org/entity/Q2403455,en,literal,John Murrell,en,literal,male,literal,tuberculosis
5356,uri,http://www.wikidata.org/entity/Q2426955,en,literal,Fatix Ämirxan,en,literal,male,literal,tuberculosis
5357,uri,http://www.wikidata.org/entity/Q2467750,en,literal,Alexander Tsulukidze,en,literal,male,literal,tuberculosis
5358,uri,http://www.wikidata.org/entity/Q2467982,en,literal,Josaphata Hordashevska,en,literal,female,literal,tuberculosis
5359,uri,http://www.wikidata.org/entity/Q2480182,en,literal,Castro Alves,en,literal,male,literal,tuberculosis
